attribute,name,type,count,power,text101,text102,text103,flavortext,mainImage,iconImage,attcolor,,
Anger,Corruption of Anger,Corruption,1,,Corrupt 2,,,Anger...rising....,corrupted apple.jpg,Anger.png,#E40000,dark,Corruption of Anger
Gluttony,Corruption of Gluttony,Corruption,1,,Corrupt 2,,,Sad?  Eat a cookie.  <br>And another... And another...,corrupted apple.jpg,Gluttony.png,#FF7A00,dark,Corruption of Gluttony
Greed,Corruption of Greed,Corruption,1,,Corrupt 2,,,This is all mine!,corrupted apple.jpg,Greed.png,#FFCB00,dark,Corruption of Greed
Lust,Corruption of Lust,Corruption,1,,Corrupt 2,,,You only exist to entertain me.,corrupted apple.jpg,Lust.png,#005BFF,dark,Corruption of Lust
Envy,Corruption of Envy,Corruption,1,,Corrupt 2,,,Joy in another's sorrow,corrupted apple.jpg,Envy.png,#009800,dark,Corruption of Envy
Diligence,The Art of Getting Things Done,Virtue,7,,"Study, then Draw 1",Purify,"All players Draw a card, then may Study",,dilBevel.png,dilBevel.png,,,
Humility,Recognizing the Value of Yourself and Others.,Virtue,7,,"Reveal a random card from the Soul Deck. If it's a Sin, Discard it ",You and another player each Study,"Draw 2, then Study 2, then Transfer 2",,humBevel.png,humBevel.png,,,
Patience,Unlocking the Power of Forgiveness,Virtue,7,,Ignore any Bully this turn,Purify,Discard all Bullies attached to you,,patBevel.png,patBevel.png,,,
Generosity,"Giving Away Gives to You, Too",Virtue,7,,"Draw 2, then Transfer",Purify,All players may Transfer,,genBevel.png,genBevel.png,,,
Moderation,Practical Applications of Moderation,Virtue,7,,"Discard 1, then any player Draws 2 ",Place a Discarded Virtue into another player's Bookshelf,"Reveal 3 random cards from the Soul Deck, and Discard the Sins",,modBevel.png,modBevel.png,,,
Chastity,Protecting Holiness,Virtue,7,,Return a discarded Virtue to another player's hand,"Purify, then Draw 1",Shuffle all Discarded Virtues into the VIrtue Deck,,chaBevel.png,chaBevel.png,,,
Kindness,Fundamentals of Compassion,Virtue,7,,Another player gains 1 Action this turn.  Draw 1,Shuffle 4 Virtues from anywhere into the Sin Deck,Purify 2,,kinBevel.png,kinBevel.png,,,
-,  Encounter the Poor,Event,1,,,One player Discards a Book,,,alms.jpg,banish 3 old.png,#000000,,  Encounter the Poor
-,  Trauma ,Event,1,,Remove 1 card from the Soul Deck from the game without looking at it.,Shuffle 2 cards from the Sin Deck into the Virtue Deck for each player. ,,,grief.jpg,banish 5 old.png,#000000,,  Trauma 
-,  Cooperation,Event,1,,One player returns a Discarded Virtue to their hand,,,,cooperation.jpg,Banish 1 old.png,#000000,,  Cooperation
-,  Encounter the Sacraments,Event,1,,,One Player Draws 1 card.,,,Monstrance.jpg,Banish 1 old.png,#000000,,  Encounter the Sacraments
-,  Bear Witness,Event,1,,Corrupt and Discard 1 Bully.,,,,BearWitness.jpg,Banish 1 old.png,#000000,,  Bear Witness
,Final Judgement,Event,1,,,,,,FJ.jpg,,,,Final Judgement
,Marker,Aid,1,,,,,,,,#000000,,Marker
,Aid,Aid,2,,,,,,aid.png,,,,
-,mainBack,Back,,,,,,,AAback.jpg,,#000000,,mainBack
-,eBack,Back,,,,,,,eventBack.jpg,,#000000,,eBack
